"palavra","categoria","concretude","imageabilidade","frq"
"abrir","VERBO",4.19,5.306,49.075202
"acabar","VERBO",3.971,4.467,48.233672
"aceptar","VERBO",4.094,3.844,62.347991
"actuar","VERBO",3.409,3.996,56.912159
"acuerdo","NOME",3.656,3.714,414.546396
"agua","NOME",6.113,6.39,277.367169
"alcanzar","VERBO",3.119,4.228,91.314187
"año","NOME",5.48,3.747,724.392095
"aplicar","VERBO",3.059,2.807,51.525063
"apoyar","VERBO",3.811,4.195,55.937413
"asegurar","VERBO",4.384,2.958,48.753536
"aumentar","VERBO",3.1,3.731,57.932393
"ayudar","VERBO",3.711,4.88,69.301178
"base","NOME",2.539,3.499,221.709183
"buscar","VERBO",3.403,4.428,79.142861
"caer","VERBO",4.194,4.905,57.305306
"cambiar","VERBO",3.53,4.221,67.686349
"cambio","NOME",2.625,4.363,251.63063
"campo","NOME",4.773,5.963,226.677138
"capital","NOME",3.86,3.614,263.48029
"casa","NOME",5.631,6.575,403.590253
"caso","NOME",2.438,3.046,503.537439
"centro","NOME",4.89,5.611,301.651336
"ciudad","NOME",5.339,6.188,657.553775
"comer","VERBO",5.59,6.304,67.735086
"comisión","NOME",3.898,3.244,777.548233
"comprender","VERBO",4.165,2.533,50.34887
"conocer","VERBO",3.314,3.249,104.154839
"consejo","NOME",3.946,4.157,472.73872
"considerar","VERBO",3.277,3.146,65.372952
"construir","VERBO",3.825,4.592,59.59271
"contar","VERBO",3.748,4.465,72.725785
"continuar","VERBO",3.921,3.521,50.205907
"crear","VERBO",3.483,4.128,120.423346
"creer","VERBO",3.819,4.106,46.982748
"cuenta","NOME",3.834,4.391,422.721264
"cuerpo","NOME",5.119,6.115,244.30704
"cumplir","VERBO",3.161,2.891,71.796527
"dado","VERBO",5.713,5.273,206.730589
"dar","VERBO",3.843,4.722,301.280933
"defender","VERBO",3.739,4.5,46.563607
"dejar","VERBO",4.247,4.16,124.111135
"derecho","NOME",3.707,3.75,333.086888
"desarrollar","VERBO",3.265,2.818,56.980391
"desarrollo","NOME",3.261,3.117,381.824179
"día","NOME",4.897,4.712,518.512783
"dicho","VERBO",2.738,2.844,296.316227
"dios","NOME",3.245,3.855,320.226742
"don","NOME",2.522,1.715,274.660625
"empezar","VERBO",4.029,3.407,44.2892
"encontrar","VERBO",3.826,4.148,131.860364
"entender","VERBO",3.691,3.572,67.969025
"entrar","VERBO",4.96,5.487,97.929462
"equipo","NOME",4.024,5.641,282.871233
"escribir","VERBO",5.38,6.01,56.06413
"espera","VERBO",3.416,3.577,89.127508
"esperar","VERBO",4.03,4.904,68.225708
"establecer","VERBO",3.933,2.511,83.460985
"estado","NOME",3.568,2.9,713.007064
"estudiar","VERBO",4.91,5.819,48.230423
"europeo","NOME",4.28,4.041,341.313743
"evitar","VERBO",3.759,3.284,135.379196
"familia","NOME",5.337,6.121,277.152725
"fin","NOME",4.543,4.202,411.407714
"final","NOME",3.904,3.553,324.440893
"forma","NOME",3.11,3.517,707.769429
"formar","VERBO",3.299,2.753,69.375908
"fuerza","NOME",3.793,4.508,232.278677
"ganar","VERBO",3.973,5.299,71.218178
"garantizar","VERBO",3.654,2.504,83.94186
"gente","NOME",4.64,6.658,230.836053
"gobierno","NOME",4.122,4.207,717.685844
"grupo","NOME",4.183,5.588,606.366623
"guerra","NOME",5.903,5.903,446.495314
"gustar","VERBO",3.81,4.556,66.620627
"haber","VERBO",2.308,2.015,363.180541
"hablar","VERBO",5.286,5.781,154.617429
"hacer","VERBO",2.809,3.446,620.779864
"hecho","VERBO",2.171,2.5,591.349039
"hijo","NOME",5.683,5.293,250.977551
"historia","NOME",3.809,4.351,506.003546
"hombre","NOME",5.398,6.611,478.220041
"información","NOME",2.996,3.4,268.828396
"informe","NOME",4.563,4.761,383.923131
"intentar","VERBO",3.434,3.866,49.738029
"ir","VERBO",3.353,3.131,149.389543
"jugar","VERBO",3.835,5.433,64.407954
"lado","NOME",4.017,4.063,263.616755
"leer","VERBO",5.856,5.413,46.557109
"ley","NOME",4.732,2.926,316.373247
"llama","VERBO",3.895,5.921,92.080987
"llamar","VERBO",3.543,4.531,56.583994
